mode,workers,threads,rep,elapsed,fail_count,failed_tests
load,auto,1,1,3.748244486,2,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert..."
load,auto,1,2,3.551589012,2,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert..."
load,auto,1,3,3.602219318,2,"FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ..."
load,1,auto,1,413.817465372,6,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_compression.py::TestHuffmanCoding::test_huffman_coding - As...;FAILED tests/test_heap.py::TestBinaryHeap::test_insert - AssertionError: List...;FAILED tests/test_heap.py::TestBinaryHeap::test_remove_min - AssertionError: ...;FAILED tests/test_linkedlist.py::TestSuite::test_is_palindrome - AssertionErr..."
load,1,auto,2,401.262074082,5,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_heap.py::TestBinaryHeap::test_insert - AssertionError: List...;FAILED tests/test_heap.py::TestBinaryHeap::test_remove_min - AssertionError: ...;FAILED tests/test_linkedlist.py::TestSuite::test_is_palindrome - AssertionErr..."
load,1,auto,3,402.852980239,6,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_compression.py::TestHuffmanCoding::test_huffman_coding - As...;FAILED tests/test_heap.py::TestBinaryHeap::test_insert - AssertionError: List...;FAILED tests/test_heap.py::TestBinaryHeap::test_remove_min - AssertionError: ...;FAILED tests/test_linkedlist.py::TestSuite::test_is_palindrome - AssertionErr..."
no,auto,1,1,3.655476188,2,"FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ..."
no,auto,1,2,3.657080345,2,"FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ..."
no,auto,1,3,3.610869259,2,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert..."
no,1,auto,1,404.875770944,5,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_heap.py::TestBinaryHeap::test_insert - AssertionError: List...;FAILED tests/test_heap.py::TestBinaryHeap::test_remove_min - AssertionError: ...;FAILED tests/test_linkedlist.py::TestSuite::test_is_palindrome - AssertionErr..."
no,1,auto,2,408.963581132,6,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_compression.py::TestHuffmanCoding::test_huffman_coding - As...;FAILED tests/test_heap.py::TestBinaryHeap::test_insert - AssertionError: List...;FAILED tests/test_heap.py::TestBinaryHeap::test_remove_min - AssertionError: ...;FAILED tests/test_linkedlist.py::TestSuite::test_is_palindrome - AssertionErr..."
no,1,auto,3,397.098718692,5,"FAILED tests/test_array.py::TestRemoveDuplicate::test_remove_duplicates - Typ...;FAILED tests/test_array.py::TestSummaryRanges::test_summarize_ranges - Assert...;FAILED tests/test_heap.py::TestBinaryHeap::test_insert - AssertionError: List...;FAILED tests/test_heap.py::TestBinaryHeap::test_remove_min - AssertionError: ...;FAILED tests/test_linkedlist.py::TestSuite::test_is_palindrome - AssertionErr..."
